variable,tipo_dato,grupo,descripcion,fuente
lesiones_roll3_mean,float64,rolling,Media movil 3 meses de lesiones (sin incluir mes actual),Derivada de lesiones con shift(1).rolling(3)
lesiones_roll6_mean,float64,rolling,Media movil 6 meses de lesiones (sin incluir mes actual),Derivada de lesiones con shift(1).rolling(6)
lesiones_roll12_mean,float64,rolling,Media movil 12 meses de lesiones (sin incluir mes actual),Derivada de lesiones con shift(1).rolling(12)
lesiones_roll3_std,float64,rolling,Desviacion estandar movil 3 meses de lesiones (sin incluir mes actual),Derivada de lesiones con shift(1).rolling(3).std()
lesiones_yoy_change,float64,tendencia,Cambio year-over-year de lesiones: (x_t - x_t-12) / (x_t-12 + 1),Derivada de lesiones y lesiones_lag12
robo_violento_lag1,float64,lag,Conteo de robo_violento en t-1 (mes anterior),Derivada de robo_violento con shift(1)
robo_violento_lag2,float64,lag,Conteo de robo_violento en t-2 (hace 2 meses),Derivada de robo_violento con shift(2)
robo_violento_lag3,float64,lag,Conteo de robo_violento en t-3 (hace 3 meses),Derivada de robo_violento con shift(3)
robo_violento_lag12,float64,lag,Conteo de robo_violento en t-12 (mismo mes del anio anterior),Derivada de robo_violento con shift(12)
robo_violento_roll3_mean,float64,rolling,Media movil 3 meses de robo_violento (sin incluir mes actual),Derivada de robo_violento con shift(1).rolling(3)
robo_violento_roll6_mean,float64,rolling,Media movil 6 meses de robo_violento (sin incluir mes actual),Derivada de robo_violento con shift(1).rolling(6)
robo_violento_roll12_mean,float64,rolling,Media movil 12 meses de robo_violento (sin incluir mes actual),Derivada de robo_violento con shift(1).rolling(12)
robo_violento_roll3_std,float64,rolling,Desviacion estandar movil 3 meses de robo_violento (sin incluir mes actual),Derivada de robo_violento con shift(1).rolling(3).std()
robo_violento_yoy_change,float64,tendencia,Cambio year-over-year de robo_violento: (x_t - x_t-12) / (x_t-12 + 1),Derivada de robo_violento y robo_violento_lag12
robo_sin_violencia_lag1,float64,lag,Conteo de robo_sin_violencia en t-1 (mes anterior),Derivada de robo_sin_violencia con shift(1)
robo_sin_violencia_lag2,float64,lag,Conteo de robo_sin_violencia en t-2 (hace 2 meses),Derivada de robo_sin_violencia con shift(2)
robo_sin_violencia_lag3,float64,lag,Conteo de robo_sin_violencia en t-3 (hace 3 meses),Derivada de robo_sin_violencia con shift(3)
robo_sin_violencia_lag12,float64,lag,Conteo de robo_sin_violencia en t-12 (mismo mes del anio anterior),Derivada de robo_sin_violencia con shift(12)
robo_sin_violencia_roll3_mean,float64,rolling,Media movil 3 meses de robo_sin_violencia (sin incluir mes actual),Derivada de robo_sin_violencia con shift(1).rolling(3)
robo_sin_violencia_roll6_mean,float64,rolling,Media movil 6 meses de robo_sin_violencia (sin incluir mes actual),Derivada de robo_sin_violencia con shift(1).rolling(6)
robo_sin_violencia_roll12_mean,float64,rolling,Media movil 12 meses de robo_sin_violencia (sin incluir mes actual),Derivada de robo_sin_violencia con shift(1).rolling(12)
robo_sin_violencia_roll3_std,float64,rolling,Desviacion estandar movil 3 meses de robo_sin_violencia (sin incluir mes actual),Derivada de robo_sin_violencia con shift(1).rolling(3).std()
robo_sin_violencia_yoy_change,float64,tendencia,Cambio year-over-year de robo_sin_violencia: (x_t - x_t-12) / (x_t-12 + 1),Derivada de robo_sin_violencia y robo_sin_violencia_lag12
violacion_sexual_lag1,float64,lag,Conteo de violacion_sexual en t-1 (mes anterior),Derivada de violacion_sexual con shift(1)
violacion_sexual_lag2,float64,lag,Conteo de violacion_sexual en t-2 (hace 2 meses),Derivada de violacion_sexual con shift(2)
violacion_sexual_lag3,float64,lag,Conteo de violacion_sexual en t-3 (hace 3 meses),Derivada de violacion_sexual con shift(3)
violacion_sexual_lag12,float64,lag,Conteo de violacion_sexual en t-12 (mismo mes del anio anterior),Derivada de violacion_sexual con shift(12)
violacion_sexual_roll3_mean,float64,rolling,Media movil 3 meses de violacion_sexual (sin incluir mes actual),Derivada de violacion_sexual con shift(1).rolling(3)
violacion_sexual_roll6_mean,float64,rolling,Media movil 6 meses de violacion_sexual (sin incluir mes actual),Derivada de violacion_sexual con shift(1).rolling(6)
violacion_sexual_roll12_mean,float64,rolling,Media movil 12 meses de violacion_sexual (sin incluir mes actual),Derivada de violacion_sexual con shift(1).rolling(12)
violacion_sexual_roll3_std,float64,rolling,Desviacion estandar movil 3 meses de violacion_sexual (sin incluir mes actual),Derivada de violacion_sexual con shift(1).rolling(3).std()
violacion_sexual_yoy_change,float64,tendencia,Cambio year-over-year de violacion_sexual: (x_t - x_t-12) / (x_t-12 + 1),Derivada de violacion_sexual y violacion_sexual_lag12
secuestro_lag1,float64,lag,Conteo de secuestro en t-1 (mes anterior),Derivada de secuestro con shift(1)
secuestro_lag2,float64,lag,Conteo de secuestro en t-2 (hace 2 meses),Derivada de secuestro con shift(2)
secuestro_lag3,float64,lag,Conteo de secuestro en t-3 (hace 3 meses),Derivada de secuestro con shift(3)
secuestro_lag12,float64,lag,Conteo de secuestro en t-12 (mismo mes del anio anterior),Derivada de secuestro con shift(12)
secuestro_roll3_mean,float64,rolling,Media movil 3 meses de secuestro (sin incluir mes actual),Derivada de secuestro con shift(1).rolling(3)
secuestro_roll6_mean,float64,rolling,Media movil 6 meses de secuestro (sin incluir mes actual),Derivada de secuestro con shift(1).rolling(6)
secuestro_roll12_mean,float64,rolling,Media movil 12 meses de secuestro (sin incluir mes actual),Derivada de secuestro con shift(1).rolling(12)
secuestro_roll3_std,float64,rolling,Desviacion estandar movil 3 meses de secuestro (sin incluir mes actual),Derivada de secuestro con shift(1).rolling(3).std()
secuestro_yoy_change,float64,tendencia,Cambio year-over-year de secuestro: (x_t - x_t-12) / (x_t-12 + 1),Derivada de secuestro y secuestro_lag12
extorsion_lag1,float64,lag,Conteo de extorsion en t-1 (mes anterior),Derivada de extorsion con shift(1)
extorsion_lag2,float64,lag,Conteo de extorsion en t-2 (hace 2 meses),Derivada de extorsion con shift(2)
extorsion_lag3,float64,lag,Conteo de extorsion en t-3 (hace 3 meses),Derivada de extorsion con shift(3)
extorsion_lag12,float64,lag,Conteo de extorsion en t-12 (mismo mes del anio anterior),Derivada de extorsion con shift(12)
extorsion_roll3_mean,float64,rolling,Media movil 3 meses de extorsion (sin incluir mes actual),Derivada de extorsion con shift(1).rolling(3)
extorsion_roll6_mean,float64,rolling,Media movil 6 meses de extorsion (sin incluir mes actual),Derivada de extorsion con shift(1).rolling(6)
extorsion_roll12_mean,float64,rolling,Media movil 12 meses de extorsion (sin incluir mes actual),Derivada de extorsion con shift(1).rolling(12)
extorsion_roll3_std,float64,rolling,Desviacion estandar movil 3 meses de extorsion (sin incluir mes actual),Derivada de extorsion con shift(1).rolling(3).std()
